url,label,note
http://203.0.113.244:9090/verify,phishing,generated synthetic sample
http://203.0.113.137/login/verify?id=42,phishing,generated synthetic sample
http://crescentuniversity.edu.ng@crescent-uni-verify-43.tk/reset,phishing,generated synthetic sample
http://login-crescentuni-alerts.cf/account,phishing,generated synthetic sample
https://crescent-uni-portal.gq/docs/view?id=45,phishing,generated synthetic sample
http://login.secure.crescentuni-id.xyz/verify,phishing,generated synthetic sample
http://203.0.113.32:8080/verify,phishing,generated synthetic sample
http://198.51.100.88/login/verify?id=48,phishing,generated synthetic sample
http://crescentuniversity.edu.ng@crescent-verify-49.tk/reset,phishing,generated synthetic sample
http://id-crescent-uni-verify.cf/account,phishing,generated synthetic sample
https://portal.crescentuniversity.edu.ng/resource/1,legitimate,generated synthetic sample
https://drive.crescentuniversity.edu.ng/resource/2,legitimate,generated synthetic sample
https://portal.crescentuniversity.edu.ng/resource/3,legitimate,generated synthetic sample
https://accounts.google.com/signin,legitimate,generated synthetic sample
https://drive.crescentuniversity.edu.ng/resource/5,legitimate,generated synthetic sample
https://portal.crescentuniversity.edu.ng/resource/6,legitimate,generated synthetic sample
https://library.crescentuniversity.edu.ng/resource/7,legitimate,generated synthetic sample
https://www.wikipedia.org/wiki/Security,legitimate,generated synthetic sample
https://mail.crescentuniversity.edu.ng/resource/9,legitimate,generated synthetic sample
https://registrar.crescentuniversity.edu.ng/resource/10,legitimate,generated synthetic sample
https://bursary.crescentuniversity.edu.ng/resource/11,legitimate,generated synthetic sample
https://zoom.us/signin,legitimate,generated synthetic sample
https://hostel.crescentuniversity.edu.ng/resource/13,legitimate,generated synthetic sample
https://registrar.crescentuniversity.edu.ng/resource/14,legitimate,generated synthetic sample
https://mail.crescentuniversity.edu.ng/resource/15,legitimate,generated synthetic sample
https://accounts.google.com/signin,legitimate,generated synthetic sample
https://elearning.crescentuniversity.edu.ng/resource/17,legitimate,generated synthetic sample
https://elearning.crescentuniversity.edu.ng/resource/18,legitimate,generated synthetic sample
https://hostel.crescentuniversity.edu.ng/resource/19,legitimate,generated synthetic sample
https://accounts.google.com/signin,legitimate,generated synthetic sample
https://hostel.crescentuniversity.edu.ng/resource/21,legitimate,generated synthetic sample
https://exams.crescentuniversity.edu.ng/resource/22,legitimate,generated synthetic sample
https://registrar.crescentuniversity.edu.ng/resource/23,legitimate,generated synthetic sample
https://www.wikipedia.org/wiki/Security,legitimate,generated synthetic sample
https://drive.crescentuniversity.edu.ng/resource/25,legitimate,generated synthetic sample
https://exams.crescentuniversity.edu.ng/resource/26,legitimate,generated synthetic sample
https://library.crescentuniversity.edu.ng/resource/27,legitimate,generated synthetic sample
https://www.microsoft.com/en-us/security,legitimate,generated synthetic sample
https://exams.crescentuniversity.edu.ng/resource/29,legitimate,generated synthetic sample
https://hostel.crescentuniversity.edu.ng/resource/30,legitimate,generated synthetic sample
https://portal.crescentuniversity.edu.ng/resource/31,legitimate,generated synthetic sample
https://zoom.us/signin,legitimate,generated synthetic sample
https://drive.crescentuniversity.edu.ng/resource/33,legitimate,generated synthetic sample
https://portal.crescentuniversity.edu.ng/resource/34,legitimate,generated synthetic sample
https://exams.crescentuniversity.edu.ng/resource/35,legitimate,generated synthetic sample
https://zoom.us/signin,legitimate,generated synthetic sample
https://library.crescentuniversity.edu.ng/resource/37,legitimate,generated synthetic sample
https://drive.crescentuniversity.edu.ng/resource/38,legitimate,generated synthetic sample
https://registrar.crescentuniversity.edu.ng/resource/39,legitimate,generated synthetic sample
https://accounts.google.com/signin,legitimate,generated synthetic sample
